lago,fecha,par,metodo,muestra,n,coeficiente,p_valor
atitlan,2025-12-29,CYA~NDWI,spearman,submuestra,11336,-0.20159510492816404,2.8682759174158685e-104
atitlan,2026-02-12,CYA~NDVI,pearson,completa,240306,-0.01031923134224384,4.221234776834201e-07
atitlan,2026-02-12,CYA~NDVI,pearson_log10,completa,240306,-0.05181785479880411,1.5715955942709775e-142
atitlan,2026-02-12,CYA~NDVI,spearman,completa,240306,-0.1858977231794558,0.0
atitlan,2026-02-12,CYA~NDVI,pearson,submuestra,9626,-0.013509469201530807,0.18506111646655027
atitlan,2026-02-12,CYA~NDVI,pearson_log10,submuestra,9626,-0.05754848898686714,1.6030120879724575e-08
atitlan,2026-02-12,CYA~NDVI,spearman,submuestra,9626,-0.17949819004944723,1.632730648923832e-70
atitlan,2026-02-12,CYA~NDWI,pearson,completa,240306,-0.11109721610341336,0.0
atitlan,2026-02-12,CYA~NDWI,pearson_log10,completa,240306,-0.5417288664343598,0.0
atitlan,2026-02-12,CYA~NDWI,spearman,completa,240306,-0.46535474002199334,0.0
atitlan,2026-02-12,CYA~NDWI,pearson,submuestra,9626,-0.12426739522563793,1.9471821832255664e-34
atitlan,2026-02-12,CYA~NDWI,pearson_log10,submuestra,9626,-0.5384914918461924,0.0
atitlan,2026-02-12,CYA~NDWI,spearman,submuestra,9626,-0.474454513780362,0.0
atitlan,2026-03-24,CYA~NDVI,pearson,completa,305469,0.008371785151253093,3.708483223980433e-06
atitlan,2026-03-24,CYA~NDVI,pearson_log10,completa,305469,0.2184007228475232,0.0
atitlan,2026-03-24,CYA~NDVI,spearman,completa,305469,0.12800494143260735,0.0
atitlan,2026-03-24,CYA~NDVI,pearson,submuestra,12228,0.026695697788608502,0.003154753191588825
atitlan,2026-03-24,CYA~NDVI,pearson_log10,submuestra,12228,0.20493675641586068,4.3230029996116234e-116
atitlan,2026-03-24,CYA~NDVI,spearman,submuestra,12228,0.125653950761723,3.201921283153395e-44
atitlan,2026-03-24,CYA~NDWI,pearson,completa,305469,-0.03510677975976437,6.457784353295591e-84
atitlan,2026-03-24,CYA~NDWI,pearson_log10,completa,305469,-0.3829821519902542,0.0
atitlan,2026-03-24,CYA~NDWI,spearman,completa,305469,-0.2760647269014283,0.0
atitlan,2026-03-24,CYA~NDWI,pearson,submuestra,12228,-0.1444615651765147,5.0852435314968685e-58
atitlan,2026-03-24,CYA~NDWI,pearson_log10,submuestra,12228,-0.3764800064268027,0.0
atitlan,2026-03-24,CYA~NDWI,spearman,submuestra,12228,-0.2765128030570056,1.7734843918050142e-213
atitlan,2026-04-13,CYA~NDVI,pearson,completa,305128,0.00837855814978432,3.6878096791023154e-06
